,date,station_id,station_name,station_lat,station_long,ride_counts,trip_minutes
155,2019-01-01,403,E 2 St & 2 Ave,40.72502876,-73.99069656,2419,1625053
156,2019-01-01,405,Washington St & Gansevoort St,40.739323,-74.008119,2178,2633614
157,2019-01-01,406,Hicks St & Montague St,40.69512845,-73.99595065,1435,847445
158,2019-01-01,407,Henry St & Poplar St,40.700469,-73.991454,582,392323
159,2019-01-01,408,Market St & Cherry St,40.71076228,-73.99400398,990,705782
160,2019-01-01,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,432,533655
161,2019-01-01,410,Suffolk St & Stanton St,40.72066442,-73.98517977,2531,1771391
162,2019-01-01,411,E 6 St & Avenue D,40.72228087,-73.97668709,1344,1160704
163,2019-01-01,412,Forsyth St & Canal St,40.7158155,-73.99422366,2145,1677885
164,2019-01-01,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,808,754011
165,2019-01-01,415,Pearl St & Hanover Square,40.7047177,-74.00926027,1377,1106231
166,2019-01-01,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,1042,1265477
167,2019-01-01,417,Barclay St & Church St,40.71291224,-74.01020234,2273,1613271
168,2019-01-01,418,Front St & Gold St,40.70224,-73.982578,617,445376
169,2019-01-01,419,Carlton Ave & Park Ave,40.69580705,-73.97355569,555,348114
170,2019-01-01,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,758,414996
171,2019-01-01,421,Clermont Ave & Park Ave,40.69573398,-73.97129668,531,495924
172,2019-01-01,422,W 59 St & 10 Ave,40.770513,-73.988038,1524,1194282
173,2019-01-01,423,W 54 St & 9 Ave,40.76584941,-73.98690506,1817,1297459
174,2019-01-01,426,West St & Chambers St,40.71754834,-74.01322069,3123,2853052
175,2019-01-01,427,Bus Slip & State St,40.701907,-74.013942,833,1595719
176,2019-01-01,432,E 7 St & Avenue A,40.72621788,-73.98379855,3680,2389696
177,2019-01-01,435,W 21 St & 6 Ave,40.74173969,-73.99415556,6542,4025563
178,2019-01-01,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,306,208789
179,2019-01-01,437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,974,864554
180,2019-01-01,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,2915,2197578
181,2019-01-01,439,E 4 St & 2 Ave,40.7262807,-73.98978041,2852,2209937
182,2019-01-01,440,E 45 St & 3 Ave,40.75255434,-73.97282625,2010,1817006
183,2019-01-01,441,E 52 St & 2 Ave,40.756014,-73.967416,1530,1174377
184,2019-01-01,442,W 27 St & 7 Ave,40.746647,-73.993915,3457,2294776
185,2019-01-01,443,Bedford Ave & S 9 St,40.70853074,-73.96408963,317,275542
186,2019-01-01,445,E 10 St & Avenue A,40.72740794,-73.98142006,3630,2571189
187,2019-01-01,446,W 24 St & 7 Ave,40.74487634,-73.99529885,3858,2684591
